barcode	current_name	proposed_name	source	brand	chains	candidates
9421019370020	"יין סוביניון בלאן 750 מ""ל ASTROLABE"	"יין סוביניון בלאן 750 מ""ל ASTROLABE"	trusted	לא ידוע	1	"טיב טעם: יין סוביניון בלאן 750 מ""ל ASTROLABE"
9421025023620	"יין יילנדס סוביניון בלאן 750 מ""ל"	"יין יילנדס סוביניון בלאן 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: יין יילנדס סוביניון בלאן 750 מ""ל"
9421025025228	"יילנדס - סוביניון בלאן רזרב 750 מ""ל"	"יילנדס - סוביניון בלאן רזרב 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: יילנדס - סוביניון בלאן רזרב 750 מ""ל"
9421025029974	זילנד פרנגרין סוביניון בלאן 750	זילנד פרנגרין סוביניון בלאן 750	trusted	לא ידוע	1	טיב טעם: זילנד פרנגרין סוביניון בלאן 750
9421902401176	"מול על חצי צדף ניו זילנד 1 ק""ג"	"מול על חצי צדף ניו זילנד 1 ק""ג"	trusted	לא ידוע	1	"טיב טעם: מול על חצי צדף ניו זילנד 1 ק""ג"
9422073860311	"יין טומטיט סוביניון בלאן 750 מ""ל"	"יין טומטיט סוביניון בלאן 750 מ""ל"	trusted	לא ידוע	1	"טיב טעם: יין טומטיט סוביניון בלאן 750 מ""ל"
943510	מאפה 100% חמאה	מאפה 100% חמאה	trusted	לא ידוע	1	טיב טעם: מאפה 100% חמאה
9442060	סניקרס מיני	סניקרס מיני	trusted		1	CITY_MARKET_SHOPS: סניקרס מיני
9442202794422	ארוךKENT	ארוךKENT	trusted		1	CITY_MARKET_SHOPS: ארוךKENT
9449865	בלון 26 בצורת לב - מקרון ורוד (C)	בלון 26 בצורת לב - מקרון ורוד (C)	trusted	לא ידוע	1	בר-כל: בלון 26 בצורת לב - מקרון ורוד (C)
945092	משקה יוגורט פסיפלורה	משקה יוגורט פסיפלורה	trusted		1	CITY_MARKET_SHOPS: משקה יוגורט פסיפלורה
9451012	OPI - לק NLL16	OPI - לק NLL16	trusted	לא ידוע	1	"גוד פארם בע""מ: OPI - לק NLL16"
945387	דנונה דיאט קוקוס	דנונה דיאט קוקוס	trusted		1	CITY_MARKET_SHOPS: דנונה דיאט קוקוס
94600000089	סינפול לק 108	סינפול לק 108	trusted	שסטוביץ	1	סופר פארם ישראל: סינפול לק 108
947450	שיפודי פרגית קפוא ארוז שקיל.	שיפודי פרגית קפוא ארוז שקיל.	trusted		1	מחסני השוק: שיפודי פרגית קפוא ארוז שקיל.
948005	וניל עוגי	וניל עוגי	trusted		1	CITY_MARKET_SHOPS: וניל עוגי
948012	שוקולד אקסטרה	שוקולד אקסטרה	trusted		1	CITY_MARKET_SHOPS: שוקולד אקסטרה
94949494	פחית שתייה קר	פחית שתייה קר	trusted		1	CITY_MARKET_SHOPS: פחית שתייה קר
950099	שקשוקה	שקשוקה	trusted	יצור עצמי	1	מ. יוחננוף ובניו: שקשוקה
950114	דנונה פרו קפה	דנונה פרו קפה	trusted		1	CITY_MARKET_SHOPS: דנונה פרו קפה
950282	ספלנדיד שוקולד צילי	ספלנדיד שוקולד צילי	trusted		1	CITY_MARKET_SHOPS: ספלנדיד שוקולד צילי
950305	ספלנדיד אייריש קרים	ספלנדיד אייריש קרים	trusted		1	CITY_MARKET_SHOPS: ספלנדיד אייריש קרים
9503992379624	"בוקט גבסניות 60 ס""מ"	"בוקט גבסניות 60 ס""מ"	trusted		1	"חצי חינם: בוקט גבסניות 60 ס""מ"
9504911	בזיליקום	בזיליקום	trusted	לא ידוע	1	טיב טעם: בזיליקום
950558	סימפוניה גרעיני חמניה	סימפוניה גרעיני חמניה	trusted		1	CITY_MARKET_SHOPS: סימפוניה גרעיני חמניה
9506000024073	נודלס חריף	נודלס חריף	trusted		1	CITY_MARKET_SHOPS: נודלס חריף
9506000024097	מארז חמישייה נודלס	מארז חמישייה נודלס	trusted		1	CITY_MARKET_SHOPS: מארז חמישייה נודלס
9506000024196	נודלס חריף	נודלס חריף	trusted		1	CITY_MARKET_SHOPS: נודלס חריף
9506000024240	מארז נודלס חמישייה	מארז נודלס חמישייה	trusted		1	CITY_MARKET_SHOPS: מארז נודלס חמישייה
9506000025032	חטיף מאסלה חריף	חטיף מאסלה חריף	trusted		1	CITY_MARKET_SHOPS: חטיף מאסלה חריף
9506000025513	נודלס חריף	נודלס חריף	trusted		1	CITY_MARKET_SHOPS: נודלס חריף
9509035	עוגת שמרים שוקולד חלבה	עוגת שמרים שוקולד חלבה	trusted		1	מחסני השוק: עוגת שמרים שוקולד חלבה
9509073	בגט רוסטיק בסגנון צרפתי זיתי קלמטה	בגט רוסטיק בסגנון צרפתי זיתי קלמטה	trusted		1	מחסני השוק: בגט רוסטיק בסגנון צרפתי זיתי קלמטה
9509080	בגט רוסטיק בסגנון צרפתי אגוזים	בגט רוסטיק בסגנון צרפתי אגוזים	trusted		1	מחסני השוק: בגט רוסטיק בסגנון צרפתי אגוזים
9509318	עוגת אינגליש שוקולד	עוגת אינגליש שוקולד	trusted		1	מחסני השוק: עוגת אינגליש שוקולד
9509325	עוגת אינגליש וניל צ`יפס	עוגת אינגליש וניל צ`יפס	trusted		1	מחסני השוק: עוגת אינגליש וניל צ`יפס
9509349	לחם מחמצת בצל	לחם מחמצת בצל	trusted		1	מחסני השוק: לחם מחמצת בצל
9509363	פילו בטעם אגוזים שקיל	פילו בטעם אגוזים שקיל	trusted		1	מחסני השוק: פילו בטעם אגוזים שקיל
9509479	פלוט פרנה אפוי קפוא פילסברי	פלוט פרנה אפוי קפוא פילסברי	trusted		1	מחסני השוק: פלוט פרנה אפוי קפוא פילסברי
9509516	בייגל רומני פילסברי	בייגל רומני פילסברי	trusted		1	מחסני השוק: בייגל רומני פילסברי
9509554	לחם מחמצת בצל	לחם מחמצת בצל	trusted		1	מחסני השוק: לחם מחמצת בצל
9509608	בגט רוסטיק בסגנון צרפתי זיתי קלמטה	בגט רוסטיק בסגנון צרפתי זיתי קלמטה	trusted		1	מחסני השוק: בגט רוסטיק בסגנון צרפתי זיתי קלמטה
9509776	פיתה  ביס כוסמין מארז 8יח }פילסברי{	פיתה  ביס כוסמין מארז 8יח }פילסברי{	trusted		1	מחסני השוק: פיתה  ביס כוסמין מארז 8יח }פילסברי{
9509783	עוגת אינגליש וניל מייפל פקאן	עוגת אינגליש וניל מייפל פקאן	trusted		1	מחסני השוק: עוגת אינגליש וניל מייפל פקאן
9509790	"עוגת אינגליש וניל תפו""ע"	"עוגת אינגליש וניל תפו""ע"	trusted		1	"מחסני השוק: עוגת אינגליש וניל תפו""ע"
9509806	עוגת אינגליש תפוזים ופירות	עוגת אינגליש תפוזים ופירות	trusted		1	מחסני השוק: עוגת אינגליש תפוזים ופירות
9509820	חלת מסעדות	חלת מסעדות	trusted		1	מחסני השוק: חלת מסעדות
9509929	פרצל בטעם שוקולד	פרצל בטעם שוקולד	trusted		1	מחסני השוק: פרצל בטעם שוקולד
9509981	פרנה עגולה אפוי קפוא פילסברי	פרנה עגולה אפוי קפוא פילסברי	trusted		1	מחסני השוק: פרנה עגולה אפוי קפוא פילסברי
9509998	עוגת סבתא פילסברי	עוגת סבתא פילסברי	trusted		1	מחסני השוק: עוגת סבתא פילסברי
9512004	פריט כללי-24.9	פריט כללי-24.9	trusted	לא ידוע	1	בר-כל: פריט כללי-24.9
9513992379623	עלים נשפכים	עלים נשפכים	trusted		1	חצי חינם: עלים נשפכים
951448	תבלינים קבוצה 1 במשקל	תבלינים קבוצה 1 במשקל	trusted	דין שיווק פיצוחים זכינות	1	"שוק העיר (ט.ע.מ.ס.) בע""מ: תבלינים קבוצה 1 במשקל"
951454	כרוב לבן מהדרין	כרוב לבן מהדרין	trusted	קוסמופול	1	מ. יוחננוף ובניו: כרוב לבן מהדרין
951462	תערובת תבלינים במשקל	תערובת תבלינים במשקל	trusted	לא ידוע	1	"סופר ברקת קמעונאות בע""מ: תערובת תבלינים במשקל"
951561	סוכריות קשות במשקל	סוכריות קשות במשקל	trusted	דין שיווק פיצוחים זכינות	1	"שוק העיר (ט.ע.מ.ס.) בע""מ: סוכריות קשות במשקל"
951752	ערכת יצירה עץ אלקטרוני - חכימאי הידען	ערכת יצירה עץ אלקטרוני - חכימאי הידען	trusted	לא ידוע	1	"קי טי יבוא ושווק בע""מ: ערכת יצירה עץ אלקטרוני - חכימאי הידען"
951753	אופניים לילדים	אופניים לילדים	trusted	לא ידוע	1	"קי טי יבוא ושווק בע""מ: אופניים לילדים"
952853	חומץ יין אדום	חומץ יין אדום	trusted		1	CITY_MARKET_SHOPS: חומץ יין אדום
9531112213	מרכך  אקסטרה בודי 300 מל	מרכך  אקסטרה בודי 300 מל	trusted	פול מיטשל	1	שופרסל: מרכך  אקסטרה בודי 300 מל
9531112855	סופר סקיני סרום לשיער150	סופר סקיני סרום לשיער150	trusted	פול מיטשל	1	שופרסל: סופר סקיני סרום לשיער150
9531112909	קרם מחליק 200 מל	קרם מחליק 200 מל	trusted	פול מיטשל	1	שופרסל: קרם מחליק 200 מל
9531113081	שמפו One לשיער צבוע300מל	שמפו One לשיער צבוע300מל	trusted	פול מיטשל	1	שופרסל: שמפו One לשיער צבוע300מל
